#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 20 09 20  MM  7.0  8.0    MM    MM    MM  MM 1014.9    MM   7.5    MM   MM   MM    MM
2022 01 20 09 10  MM  6.0  9.0    MM    MM    MM  MM 1014.6    MM   7.6    MM   MM   MM    MM
2022 01 20 09 00  MM  7.0 11.0    MM    MM    MM  MM 1015.0    MM   7.6    MM   MM   MM    MM
2022 01 20 08 50  MM  8.0 10.0   2.0     8   5.4 194 1015.0    MM   7.6    MM   MM   MM    MM
2022 01 20 08 40  MM  7.0  9.0   2.0    MM   5.4 194 1014.6    MM   7.6    MM   MM   MM    MM
2022 01 20 08 30  MM  8.0  9.0    MM    MM    MM  MM 1014.9    MM   7.6    MM   MM   MM    MM
2022 01 20 08 20  MM  9.0 11.0    MM    MM    MM  MM 1015.3    MM   7.6    MM   MM   MM    MM
2022 01 20 08 10  MM  8.0 11.0    MM    MM    MM  MM 1015.3    MM   7.6    MM   MM   MM    MM
2022 01 20 08 00  MM  9.0 11.0    MM    MM    MM  MM 1015.1    MM   7.6    MM   MM   MM    MM
2022 01 20 07 50  MM  8.0 10.0   2.2     8   5.3 192 1014.9    MM   7.6    MM   MM   MM    MM
2022 01 20 07 40  MM  9.0 10.0   2.2    MM   5.3 192 1014.8    MM   7.6    MM   MM   MM    MM
2022 01 20 07 30  MM  9.0 11.0    MM    MM    MM  MM 1014.8    MM   7.6    MM   MM   MM    MM
2022 01 20 07 20  MM  9.0 11.0    MM    MM    MM  MM 1014.8    MM   7.6    MM   MM   MM    MM
2022 01 20 07 10  MM 10.0 12.0    MM    MM    MM  MM 1015.0    MM   7.6    MM   MM   MM    MM
2022 01 20 07 00  MM  9.0 11.0    MM    MM    MM  MM 1014.7    MM   7.7    MM   MM -0.0    MM
2022 01 20 06 50  MM  9.0 11.0   2.1     8   5.4 191 1014.6    MM   7.7    MM   MM   MM    MM
2022 01 20 06 40  MM  9.0 11.0   2.1    MM   5.4 191 1014.5    MM   7.7    MM   MM   MM    MM
2022 01 20 06 30  MM  9.0 11.0    MM    MM    MM  MM 1014.4    MM   7.7    MM   MM   MM    MM
2022 01 20 06 20  MM  9.0 12.0    MM    MM    MM  MM 1014.5    MM   7.7    MM   MM   MM    MM
2022 01 20 06 10  MM  9.0 11.0    MM    MM    MM  MM 1014.4    MM   7.8    MM   MM   MM    MM
2022 01 20 06 00  MM  9.0 11.0    MM    MM    MM  MM 1014.4    MM   7.8    MM   MM   MM    MM
2022 01 20 05 50  MM  9.0 12.0   2.3     8   5.5 209 1014.5    MM   7.8    MM   MM   MM    MM
2022 01 20 05 40  MM  9.0 12.0    MM    MM    MM  MM 1014.3    MM   7.8    MM   MM   MM    MM
2022 01 20 05 30  MM 10.0 12.0    MM    MM    MM  MM 1014.5    MM   7.9    MM   MM   MM    MM
2022 01 20 05 20  MM 10.0 12.0    MM    MM    MM  MM 1014.6    MM   7.9    MM   MM   MM    MM
2022 01 20 05 10  MM 10.0 12.0    MM    MM    MM  MM 1014.7    MM   7.9    MM   MM   MM    MM
2022 01 20 05 00  MM 10.0 12.0    MM    MM    MM  MM 1014.7    MM   7.9    MM   MM -0.4    MM
2022 01 20 04 50  MM 10.0 13.0   2.2     8   5.4 198 1014.7    MM   7.9    MM   MM   MM    MM
2022 01 20 04 40  MM  9.0 12.0   2.2    MM   5.4 198 1014.7    MM   7.9    MM   MM   MM    MM
2022 01 20 04 30  MM  9.0 12.0    MM    MM    MM  MM 1014.8    MM   7.9    MM   MM   MM    MM
2022 01 20 04 20  MM 10.0 12.0    MM    MM    MM  MM 1014.6    MM   7.9    MM   MM   MM    MM
2022 01 20 04 10  MM 10.0 13.0    MM    MM    MM  MM 1014.7    MM   7.9    MM   MM   MM    MM
2022 01 20 04 00  MM 10.0 13.0    MM    MM    MM  MM 1014.7    MM   7.9    MM   MM -0.5    MM
2022 01 20 03 50  MM 10.0 13.0   2.4     7   5.5 210 1014.8    MM   7.9    MM   MM   MM    MM
2022 01 20 03 40  MM 10.0 13.0   2.4    MM   5.5 210 1014.8    MM   8.0    MM   MM   MM    MM
2022 01 20 03 30  MM 10.0 13.0    MM    MM    MM  MM 1015.0    MM   8.0    MM   MM   MM    MM
2022 01 20 03 20  MM 10.0 12.0    MM    MM    MM  MM 1015.0    MM   8.0    MM   MM   MM    MM
2022 01 20 03 10  MM 10.0 13.0    MM    MM    MM  MM 1015.0    MM    MM    MM   MM   MM    MM
2022 01 20 03 00  MM 11.0 14.0    MM    MM    MM  MM 1015.0    MM   8.0    MM   MM   MM    MM
2022 01 20 02 50  MM 11.0 14.0   2.4     8   5.5 202 1015.0    MM   8.0    MM   MM   MM    MM
2022 01 20 02 40  MM 11.0 13.0   2.4    MM   5.5 202 1015.1    MM   8.0    MM   MM   MM    MM
2022 01 20 02 30  MM 10.0 13.0    MM    MM    MM  MM 1015.1    MM   8.0    MM   MM   MM    MM
2022 01 20 02 20  MM 10.0 14.0    MM    MM    MM  MM 1015.1    MM   8.0    MM   MM   MM    MM
2022 01 20 02 10  MM 11.0 14.0    MM    MM    MM  MM 1015.1    MM   8.0    MM   MM   MM    MM
2022 01 20 02 00  MM 11.0 13.0    MM    MM    MM  MM 1015.1    MM   8.0    MM   MM +0.3    MM
2022 01 20 01 50  MM 10.0 13.0   2.5     8   5.6 198 1015.1    MM   8.0    MM   MM   MM    MM
2022 01 20 01 40  MM 10.0 13.0   2.5    MM   5.6 198 1015.0    MM   8.0    MM   MM   MM    MM
2022 01 20 01 30  MM 11.0 13.0    MM    MM    MM  MM 1014.9    MM   8.0    MM   MM   MM    MM
2022 01 20 01 20  MM 11.0 14.0    MM    MM    MM  MM 1015.0    MM   8.0    MM   MM   MM    MM
2022 01 20 01 10  MM 11.0 13.0    MM    MM    MM  MM 1015.1    MM   8.0    MM   MM   MM    MM
2022 01 20 01 00  MM 11.0 14.0    MM    MM    MM  MM 1015.2    MM   8.0    MM   MM   MM    MM
